,OWT,band,b1,b2,r2
0,1,440,0.950779191486189,0.00010855085644495034,0.9989529060151637
1,1,480,1.0601941108077935,-4.422908131251121e-05,0.9972753585541512
2,1,560,0.9949730142339923,3.0482010698502926e-06,0.9997641434058507
3,1,655,1.0403263333782053,1.7720491249857565e-05,0.9929929031821089
4,2,440,0.965133533069457,4.4387963450394016e-05,0.9995776405402605
5,2,480,1.0433639215996144,-9.63062068494256e-05,0.9944180929328541
6,2,560,0.9671310925618074,2.8967179771946646e-05,0.9927425127669767
7,2,655,1.0475593181209404,2.0246672501296508e-05,0.985066126914763
8,3,440,0.970945166814084,5.9387860356899594e-05,0.999606776047249
9,3,480,1.0212924895296835,-8.137284797837992e-05,0.9966609424641091
10,3,560,0.9713687188849172,2.404295483756768e-05,0.9983394760009539
11,3,655,1.1053480567124743,1.0072077767433736e-05,0.9975336391573617
12,4,440,0.9872794127740833,2.7348252506221617e-05,0.9998126105674858
13,4,480,0.9918706674054073,-2.1174197951893264e-05,0.99727216734339
14,4,560,0.9854208927116123,-2.51008052089064e-05,0.9963396155605895
15,4,655,1.0593200286594837,7.646263337907457e-06,0.9803529025359639
16,5,440,1.0019648570678101,3.436451645897915e-05,0.9998323891980344
17,5,480,0.9442283596565915,3.779108623271077e-05,0.99551958797396
18,5,560,0.9744777860855592,-1.897675902878251e-05,0.9990094729850891
19,5,655,1.1382423243859232,-1.528145766318764e-06,0.9801697551067818
20,5,865,0.9200782836225456,2.2562043263859805e-06,1.0
21,6,440,1.0030512132169378,-1.7028224646694137e-07,0.9997170331828551
22,6,480,0.9665039375980685,2.0922573005800835e-05,0.998414875953742
23,6,560,0.9618673807755551,-4.646839838402892e-06,0.9989167885901928
24,6,655,1.0425670415776487,1.5055226695687867e-05,0.9782368367093123
25,7,440,1.0169530351164846,-6.263721421189989e-06,0.9999313716489538
26,7,480,0.9405840626515384,2.5970963028647438e-05,0.9995470407099171
27,7,560,0.9453210669412663,2.0523978943477218e-05,0.9995055888352581
28,7,655,1.085262399599221,3.150665094014835e-05,0.9891403645838759
29,7,865,1.001019925261424,-1.3048712949103862e-07,0.9999929193257014
30,8,440,1.014458397349664,-9.625012843873185e-06,0.9999297267015282
31,8,480,0.957118690813299,5.828631593487836e-06,0.9997632417722494
32,8,560,0.9453708563894702,1.4452028055181743e-05,0.9995460030701528
33,8,655,1.1738403201548846,-3.295022038699361e-05,0.9930194644197323
34,8,865,0.9911526929430159,7.840714035947996e-08,0.9999715985395631
35,9,440,1.0196488828198813,1.6753757146237627e-05,0.999906594640127
36,9,480,0.9467218937392905,-3.9208325266407336e-05,0.9992332378241197
37,9,560,0.9356462581169994,4.60069149219363e-05,0.9994890028313671
38,9,655,1.191623411071588,-3.184600155573729e-05,0.9914116148447061
39,9,865,1.0129263679282152,-3.732367530716199e-07,0.999556007802976
40,10,440,1.0161490537968052,2.3159130045961873e-05,0.9999627011473149
41,10,480,0.9648477816477364,-5.779676199490699e-05,0.9997744090492612
42,10,560,0.9552690209800385,4.6609255259510984e-07,0.9996175862826214
43,10,655,1.1923722745499803,-5.341119550879812e-05,0.9981818748626923
44,10,865,0.9971571376265745,3.4584532302673286e-06,0.998448437980871
45,11,440,1.0103393787053547,-7.932882718378852e-06,0.9999549610460419
46,11,480,0.972283117088743,-1.1163076220727444e-05,0.9997819579251004
47,11,560,0.9697507417845491,-7.72426860340238e-05,0.9998217837939344
48,11,655,1.1022887091704112,-6.498276100803447e-05,0.9956471989867508
49,11,865,0.9977557393530091,1.517450796918382e-06,0.9999937322514973
50,12,440,1.0219613101929055,3.7048335605334784e-05,0.9998890305069813
51,12,480,0.9519343586420967,-5.0278103095792274e-05,0.9990307656163089
52,12,560,0.9600403706137519,-0.00011664726308172058,0.9993695556017725
53,12,655,1.164318707166456,2.099118321191888e-05,0.9983249626969761
