,OWT,band,b1,b2,r2
0,1,444,1.0027872184292306,1.436422818479853e-05,0.9998901416851209
1,1,497,0.9169883031560532,-0.00013778433021762598,0.9987545697203052
2,1,560,1.002678751522223,9.147289114959118e-06,0.999849873316168
3,1,665,1.0091219304688501,5.213203032516207e-06,0.9994328650857898
4,1,704,1.0270628085016293,1.0112028124131957e-05,0.9962309002865499
5,1,782,1.0053635117700834,-3.1726204581377515e-06,0.9989658666570791
6,2,444,0.9995883015518834,3.0183327172731214e-05,0.9999459161574724
7,2,497,0.9159229537960956,-0.0001373343541590027,0.9959694774971302
8,2,560,0.9842354004813717,2.8992048051102413e-05,0.9965642102442485
9,2,665,0.9961689626436373,7.871283988837173e-06,0.9949770585460518
10,2,704,1.0241244061450592,1.5022902244710482e-05,0.9894636656745766
11,2,782,0.9226311984277964,-1.3519209261230201e-06,0.9610230579969066
12,3,444,1.0012320344384618,7.888402445990761e-06,0.999936367193868
13,3,497,0.8915059267537496,1.8884416741632784e-05,0.9971950897935857
14,3,560,0.9904222142857858,2.3670035347037087e-05,0.9993580047451052
15,3,665,1.0401156060518983,2.6931027666810253e-06,0.9993846125017167
16,3,704,1.0765629182562186,1.1303641130943769e-05,0.9974923634707294
17,3,782,1.0313456878884963,-3.035017072782526e-06,0.9916806343472171
18,4,444,1.002890824418838,-3.202466170190016e-06,0.9999561840034714
19,4,497,0.901345671025973,6.064138774386626e-05,0.9961749851254209
20,4,560,1.0016505270440172,-7.514892837796449e-06,0.9984254509666348
21,4,665,0.9996078682092379,9.324021357573324e-06,0.9962277660142497
22,4,704,1.026555537326923,2.0337113922705788e-05,0.9941769802051384
23,4,782,0.8842492675171857,2.4598840310522375e-06,0.9724001154532317
24,5,444,0.999401270199499,3.387484018625188e-06,0.999955699919304
25,5,497,0.8806002370447586,0.00011134685194644223,0.9941598686241964
26,5,560,1.0023196755160082,-1.3847824999316683e-05,0.9997827161954054
27,5,665,1.0280404730648782,6.742402606555527e-06,0.9956336956544118
28,5,704,1.0322528386765608,2.8273394501634476e-05,0.9884600945180084
29,5,782,0.7412496195552138,8.253377110207547e-06,0.8249204916497827
30,5,865,0.9399683429290825,1.4946622134691219e-06,1.0
31,6,444,1.001072854577281,4.091213352594176e-06,0.9999655389570198
32,6,497,0.9200850317863103,5.894803110397754e-05,0.9980780988458449
33,6,560,0.9924140883783938,-1.360396666309771e-06,0.9995897223432579
34,6,665,1.0090414094310962,1.2177588549533967e-05,0.99707514799134
35,6,704,1.0117171076611275,2.9915689742160374e-05,0.9904136989040777
36,6,782,0.9417355427672978,-1.619167474736701e-07,0.9935052043692386
37,7,444,1.0001640115229766,4.343206497000457e-07,0.9999874131233975
38,7,497,0.924517623682198,3.6438105760567586e-05,0.999548070482182
39,7,560,0.9897794590722148,3.1467443607114017e-06,0.9999219820525127
40,7,665,1.0215416267969923,1.575416729605281e-05,0.9985790079819359
41,7,704,1.0650183366159438,3.252877264432459e-05,0.9924870617905276
42,7,782,0.9683668918176551,-1.402063099478941e-06,0.9952354964446554
43,7,865,1.0009318491517907,-2.362911105528007e-07,0.9999952693684361
44,8,444,0.99980872460475,5.760535552018151e-06,0.9999860393164532
45,8,497,0.9529352618093527,1.8443011015170478e-05,0.9996260751327802
46,8,560,0.9871326251562591,2.9294151292266063e-06,0.9999359020779689
47,8,665,1.0438198810770465,4.095845014298301e-06,0.9992813136108482
48,8,704,1.166404955577285,1.0172421748028343e-05,0.9952345078688613
49,8,782,0.854743695140356,7.851779730394106e-06,0.9706630810017389
50,8,865,0.9910449640029972,1.4443216335817692e-07,0.9999741248954033
51,9,444,0.9982552579825957,2.259864931527123e-06,0.9999876130135574
52,9,497,0.9567457333893483,-1.3450067341489944e-05,0.9990775960807032
53,9,560,0.9845736829417749,8.850013037015395e-06,0.9999386855319865
54,9,665,1.0514105259415385,-1.7847608969999299e-06,0.9990161346603145
55,9,704,1.1244668331822674,2.0388741012178466e-05,0.9941418564934688
56,9,782,0.9750618972563558,-1.6192821067501637e-07,0.9873504417793538
57,9,865,1.0062334377841344,-1.815995835269832e-07,0.9998705869583477
58,10,444,0.9963239077854956,1.2964816578409782e-05,0.9999958726237874
59,10,497,0.9771747797360857,2.9507460894558427e-05,0.9997636993283541
60,10,560,0.98848324565907,5.792439479963829e-06,0.999915080782664
