,OWT,band,b1,b2,r2
0,1,400,0.9899130985719833,2.8863668299617534e-05,0.9999151583272688
1,1,412,1.0003390131212304,-6.52371791923928e-07,0.9999999467899561
2,1,442,1.0002808959552583,-6.76006287319425e-07,0.9999999764857911
3,1,490,0.993140336896217,-4.385127550463226e-06,0.9999890694913688
4,1,510,0.9912542388788007,-1.8865503554806647e-05,0.9999598118751205
5,1,560,0.9968549982328998,-2.746824798095142e-06,0.9999976856838981
6,1,620,0.9980529933961989,-2.5737236484765e-08,0.9999985896226549
7,1,665,1.0045564396242186,1.2501826450559566e-06,0.9999294581704271
8,1,674,1.0045280677165278,5.267366504774218e-09,0.9998940774951283
9,1,681,0.99831542814184,8.173319793606843e-08,0.9999824959006615
10,1,709,1.00010665976717,1.991992310982965e-09,0.9999997001467319
11,1,779,1.002724712488683,-1.2089306736786184e-06,0.9999369494969281
12,2,400,0.9881832730479907,5.100920696096689e-05,0.9997204023759837
13,2,412,1.0002855754771305,-3.9045179542167296e-07,0.9999997347618551
14,2,442,1.000137809691717,1.8049968029086594e-07,0.9999999790545031
15,2,490,0.9948209959275878,-5.662908543408937e-06,0.9999724119608859
16,2,510,0.991970235226983,-1.728706619730713e-05,0.9999378148380516
17,2,560,0.995850105311416,-1.5819207132257776e-06,0.9999908035643515
18,2,620,0.9960910650166007,4.5161138021658064e-08,0.9999884318100186
19,2,665,1.0055483354406505,1.0301060825313856e-06,0.9991365903069065
20,2,674,1.0083117552213214,-3.368070023869311e-07,0.9997603049168492
21,2,681,0.997437732357288,-3.106513389336909e-08,0.9999391821472808
22,2,709,1.0002322280819926,-3.5446952187583676e-08,0.9999951173266499
23,2,779,0.9732528537376145,-6.101729502631833e-07,0.996054309569891
24,3,400,0.9923508103964818,1.2575755807537996e-05,0.9998958847125737
25,3,412,1.0002709376707433,-5.550783164073522e-07,0.999999887936606
26,3,442,1.0001201314088797,-7.091166710163771e-08,0.9999999706222686
27,3,490,0.9937245008456191,7.70395538979892e-06,0.9999872981352925
28,3,510,0.9890031326651161,-1.8647904806070453e-06,0.9999464572463574
29,3,560,0.9981223452374554,-4.214599006547052e-06,0.9999908023920338
30,3,620,0.9989411157619066,-5.022328211526459e-07,0.9999956901478096
31,3,665,1.0186448477186125,-1.3167147099074259e-06,0.9997766053523094
32,3,674,1.0077339146538438,-8.128972213515952e-07,0.9999250725596875
33,3,681,0.9963057394421937,3.751729869014102e-07,0.9999838941439669
34,3,709,0.9991798726745591,6.710105903520215e-08,0.9999996331564988
35,3,779,1.0247052747693774,-1.2362758968264485e-06,0.9985095261080313
36,4,400,0.991845941210208,1.1568687448474009e-05,0.9997720578882584
37,4,412,1.000245479672778,-4.493748101182943e-07,0.9999998347221326
38,4,442,1.0000882010817687,-1.6517764173280824e-07,0.9999999845441256
39,4,490,0.9958001346380018,5.945025364474665e-06,0.9999931326592516
40,4,510,0.9917239961151284,8.115978565115603e-07,0.9999553875351801
41,4,560,0.996020813016718,6.753416442089114e-08,0.9999967854571827
42,4,620,0.9964475673612826,2.6346891757286946e-07,0.9999898265823927
43,4,665,1.0112225830391752,-3.950417447301676e-06,0.9988530473864974
44,4,674,1.0045110871803469,-2.247266922075189e-06,0.9995396998478394
45,4,681,0.9988249146914853,5.50753845692995e-07,0.9999393477546695
46,4,709,1.000073453811485,2.5630208794885905e-09,0.9999973368287042
47,4,779,0.979012785771379,7.29018470024439e-07,0.996808924034001
48,5,400,0.9970864782054122,2.3656635468267788e-05,0.999800764082776
